PDB,y_dynamic
AF-Q7Z3I7-F1-model_v4,-0.675981364
AF-Q9NTX9-F1-model_v4,-0.62110607
AF-Q9UK73-F1-model_v4,-0.250647515
AF-O00238-F1-model_v4,-0.277578386
AF-Q6IQ19-F1-model_v4,-0.84595537
AF-Q8HWS3-F1-model_v4,-0.306344172
AF-Q9BQ66-F1-model_v4,0.349200829
AF-Q8NGT2-F1-model_v4,0.612093136
AF-Q96JG9-F6-model_v4,-0.67369256
AF-Q9Y6V0-F5-model_v4,-0.83622794
AF-P07951-F1-model_v4,-0.810188908
AF-Q9BXK1-F1-model_v4,-0.523452249
AF-Q5T6F2-F1-model_v4,-0.496229334
AF-Q8WYP5-F1-model_v4,-0.344708683
AF-Q15910-F1-model_v4,-0.668800034
AF-Q02880-F1-model_v4,-0.563751251
AF-Q9H3F6-F1-model_v4,-0.410192918
AF-P01763-F1-model_v4,0.071862179
AF-P58182-F1-model_v4,0.633418187
AF-P0CW23-F1-model_v4,-0.688039372
AF-A0A1B0GX49-F1-model_v4,-0.01468538
AF-Q9UHT4-F1-model_v4,0.499644776
AF-A0A075B6H5-F1-model_v4,-0.095274231
AF-P48065-F1-model_v4,0.401895942
AF-Q92878-F1-model_v4,-0.619543509
AF-O43699-F1-model_v4,-0.233945585
AF-O75688-F1-model_v4,-0.557576566
AF-Q05C16-F1-model_v4,-0.089088161
AF-Q504Y2-F1-model_v4,-0.299848158
AF-O14497-F1-model_v4,-0.665713067
AF-P62699-F1-model_v4,-0.394032025
AF-P27105-F1-model_v4,-0.053255382
AF-Q9NSD5-F1-model_v4,0.402047536
AF-O15230-F10-model_v4,-0.345909917
AF-Q92888-F1-model_v4,-0.505941045
AF-P98088-F3-model_v4,-0.266912375
AF-Q9HD42-F1-model_v4,-0.422431037
AF-O00254-F1-model_v4,0.56222803
AF-Q9Y234-F1-model_v4,-0.183449307
AF-Q2WGJ6-F1-model_v4,-0.166791853
AF-Q6NY19-F1-model_v4,-0.575213472
AF-Q8NBM4-F1-model_v4,0.170047384
AF-P35555-F3-model_v4,-0.459150738
AF-P20908-F1-model_v4,-0.977831805
AF-Q9ULL5-F1-model_v4,-0.622687979
AF-Q68CR1-F1-model_v4,-0.181754329
AF-Q05516-F1-model_v4,-0.404525966
AF-A0A075B6S4-F1-model_v4,-0.059826923
AF-Q8NEQ5-F1-model_v4,-0.187275161
AF-Q9UKN7-F8-model_v4,-0.236138405
AF-Q14164-F1-model_v4,-0.183123557
AF-P0CJ88-F1-model_v4,-0.582785574
AF-Q9H2F5-F1-model_v4,-0.486321102
AF-P41161-F1-model_v4,-0.517549755
AF-A0A0B4J274-F1-model_v4,-0.223676042
AF-Q9HCM4-F1-model_v4,-0.382782037
AF-P30793-F1-model_v4,-0.349826367
AF-Q6ZNB5-F1-model_v4,-0.45992054
AF-Q9Y3E0-F1-model_v4,0.731125302
AF-P09758-F1-model_v4,-0.210762307
AF-Q969F2-F1-model_v4,-0.814776293
AF-Q96LW7-F1-model_v4,-0.037476462
AF-Q5TCX8-F1-model_v4,-0.415839945
AF-Q9Y662-F1-model_v4,-0.248164722
AF-Q14204-F17-model_v4,-0.279918625
AF-Q7Z695-F1-model_v4,0.088500346
AF-Q9HA65-F1-model_v4,-0.2910201
AF-Q9H6S3-F1-model_v4,-0.477062879
AF-O14686-F6-model_v4,-0.572728649
AF-Q16538-F1-model_v4,-0.100919898
AF-Q9C0B9-F1-model_v4,-0.500814622
AF-Q5VU69-F1-model_v4,-0.250920297
AF-Q9Y6F7-F1-model_v4,-0.395744316
AF-Q96IR7-F1-model_v4,-0.198711321
AF-Q9NUS5-F1-model_v4,-0.178869917
AF-Q8IZH2-F1-model_v4,-0.379583328
AF-Q7Z6J4-F1-model_v4,-0.408624122
AF-Q6V1P9-F3-model_v4,-0.299314071
AF-Q9P2P5-F1-model_v4,-0.528105815
AF-Q9Y693-F1-model_v4,0.292610958
AF-P52569-F1-model_v4,0.3501298
AF-Q8TEB7-F1-model_v4,-0.220436429
AF-A0A494C030-F1-model_v4,-0.754496101
AF-Q9GZT6-F1-model_v4,-0.367979101
AF-Q8WXI7-F33-model_v4,-0.29237206
AF-A8MTL3-F1-model_v4,-0.296285
AF-Q8N5S1-F1-model_v4,-0.0438
AF-Q9NZJ4-F16-model_v4,-0.208691839
AF-Q8IVQ6-F1-model_v4,0.29621478
AF-Q13753-F1-model_v4,-0.552215353
AF-P0DMS8-F1-model_v4,0.710219104
AF-Q5VWC8-F1-model_v4,0.644024246
AF-Q09028-F1-model_v4,-0.665661039
AF-Q02817-F16-model_v4,-0.16728572
AF-Q8TBZ0-F1-model_v4,-0.575621158
AF-Q5T200-F1-model_v4,-1.284487835
AF-Q8TC20-F1-model_v4,-0.584349914
AF-Q8N371-F1-model_v4,-0.26094363
AF-O43315-F1-model_v4,0.365501723
AF-Q96LM6-F1-model_v4,-0.47217162
